data_year,criminal_act_id,offense_id
2023,9,197756129
2023,6,201511592
2023,6,201511593
2023,9,198507155
2023,6,198507156
2023,8,198507157
2023,9,197756198
2023,9,197756225
2023,9,197756253
2023,9,208477160
2023,9,198507158
2023,9,199753811
2023,9,205087863
2023,9,205087864
2023,9,197756337
2023,6,200194292
2023,9,200194293
2023,6,200194294
2023,6,200194295
2023,9,208477163
2023,6,208477164
2023,6,197756372
2023,2,197756382
2023,6,197756383
2023,6,197756400
2023,6,197756413
2023,6,197756422
2023,9,197756448
2023,9,197756455
2023,9,221057248
2023,9,197756468
2023,8,197756498
2023,9,197756508
2023,9,203363923
2023,6,197756539
2023,6,197756540
2023,9,197756558
2023,9,199753818
2023,9,206534914
2023,6,197756647
2023,9,197756657
2023,6,197756700
2023,9,197756709
2023,8,197756724
2023,6,198507166
2023,6,198507167
2023,6,198507168
2023,9,197756742
2023,9,198507169
2023,9,197756760
2023,9,198507170
2023,9,197756784
2023,9,197756790
2023,9,203363924
2023,9,197756818
2023,6,197756839
2023,6,197756869
2023,1,197756908
2023,1,197756931
2023,9,197756954
2023,6,197756963
2023,8,197756964
2023,9,197756995
2023,9,197757031
2023,9,199753821
2023,9,203363925
2023,9,197757079
2023,8,199753822
2023,6,201835967
2023,9,203363926
2023,9,197757094
2023,6,198507171
2023,8,197757095
2023,6,201835969
2023,9,197757096
2023,6,197757097
2023,6,197757098
2023,6,201835972
2023,8,201835972
2023,9,205898343
2023,9,197757102
2023,9,220715164
2023,9,197757105
2023,9,197757108
2023,9,197757111
2023,9,203363927
2023,9,197757116
2023,9,197757117
2023,9,197757120
2023,9,198507172
2023,6,198507173
2023,9,209988146
2023,9,203363928
2023,6,201835974
2023,9,197757134
2023,9,197757136
2023,9,197757139
2023,6,197757140
2023,6,197757141
