data_year,offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,age_range_low_num,age_range_high_num
2023,188040812,165629217,0,104,NS,X,99,50,,
2023,191732379,168896599,1,53,50,M,10,10,50,
2023,188782257,166286996,0,104,NS,X,99,50,,
2023,188782258,166286997,1,44,41,F,40,20,41,
2023,188782259,166286998,1,27,24,M,10,10,24,
2023,191016882,168264697,0,104,NS,X,99,50,,
2023,188040875,165629272,0,104,NS,X,99,50,,
2023,188040884,165629280,1,28,25,M,10,20,25,
2023,188040892,165629288,0,104,NS,X,99,50,,
2023,188040911,165629307,1,51,48,F,20,20,48,
2023,188040941,165629333,0,104,NS,X,99,50,,
2023,198641557,174962645,1,47,44,M,10,20,44,
2023,188782260,166286999,1,35,32,M,10,10,32,
2023,190009402,167374151,1,30,27,F,20,20,27,
2023,195286987,172017250,1,103,00,M,98,40,,
2023,188041020,165629409,1,34,31,F,20,20,31,
2023,190442515,167756478,1,47,44,M,10,10,44,
2023,198641559,174962647,1,55,52,M,10,20,52,
2023,188041047,165629435,1,48,45,M,10,20,45,
2023,188041056,165629444,1,38,35,M,10,10,35,
2023,188041061,165629449,0,104,NS,X,99,50,,
2023,188041073,165629460,1,39,36,M,10,20,36,
2023,188041089,165629470,1,47,44,M,10,20,44,
2023,188041100,165629479,1,36,33,F,10,10,33,
2023,188041116,165629493,0,104,NS,X,99,50,,
2023,188041128,165629504,1,34,31,F,20,20,31,
2023,188041137,165629511,1,33,30,M,10,20,30,
2023,211547746,185920204,1,44,41,F,20,20,41,
2023,188041148,165629522,1,45,42,M,20,20,42,
2023,188041156,165629530,0,104,NS,X,99,50,,
2023,188041168,165629540,0,104,NS,X,99,50,,
2023,188041177,165629549,1,35,32,M,10,20,32,
2023,188041188,165629558,1,31,28,M,20,40,28,
2023,193565127,170506882,1,23,20,M,10,40,20,
2023,188041220,165629588,1,33,30,M,40,20,30,
2023,190009405,167374154,0,104,NS,X,99,50,,
2023,188041240,165629604,1,34,31,F,20,20,31,
2023,188041255,165629616,0,104,NS,X,99,50,,
2023,188041273,165629626,0,104,NS,X,99,50,,
2023,188041286,165629636,0,104,NS,X,99,50,,
2023,188041307,165629656,0,104,NS,X,99,50,,
2023,188041318,165629667,0,104,NS,X,99,50,,
2023,188041327,165629676,0,104,NS,X,99,50,,
2023,190009406,167374155,1,25,22,F,20,20,22,
2023,196715837,173266174,1,50,47,M,10,20,47,
2023,188041335,165629684,1,50,47,M,10,20,47,
2023,188041345,165629694,1,78,75,M,40,20,75,
2023,188782263,166287002,0,104,NS,X,99,50,,
2023,188041364,165629713,1,103,00,U,98,40,,
2023,188041365,165629713,2,103,00,U,98,40,,
2023,188041370,165629718,1,55,52,M,10,20,52,
2023,188041389,165629735,1,27,24,M,10,10,24,
2023,188041398,165629744,1,34,31,M,20,20,31,
2023,188041407,165629753,0,104,NS,X,99,50,,
2023,188041411,165629757,0,104,NS,X,99,50,,
2023,188041421,165629766,0,104,NS,X,99,50,,
2023,188782264,166287003,1,37,34,M,20,20,34,
2023,188041430,165629774,1,53,50,M,10,20,50,
2023,188782265,166287004,0,104,NS,X,99,50,,
2023,188041449,165629790,0,104,NS,X,99,50,,
2023,188782266,166287005,1,23,20,M,10,40,20,
2023,188041466,165629807,0,104,NS,X,99,50,,
2023,188041471,165629812,1,39,36,M,40,20,36,
2023,188041477,165629818,1,27,24,M,98,40,24,
2023,190009407,167374156,0,104,NS,X,99,50,,
2023,193565128,170506883,1,49,46,M,20,20,46,
2023,188041496,165629837,0,104,NS,X,99,50,,
2023,188041503,165629844,1,24,21,M,20,20,21,
2023,188041517,165629857,0,104,NS,X,99,50,,
2023,190009408,167374157,0,104,NS,X,99,50,,
2023,188041526,165629862,1,47,44,M,10,40,44,
2023,188041537,165629873,0,104,NS,X,99,50,,
2023,192047452,169172797,1,36,33,U,98,40,17,49
2023,188041554,165629889,0,104,NS,X,99,50,,
2023,188041593,165629924,1,49,46,M,20,20,46,
2023,188041614,165629945,1,23,20,M,20,20,20,
2023,188041633,165629964,0,104,NS,X,99,50,,
2023,188041646,165629971,1,38,35,M,10,20,35,
2023,188041663,165629988,0,104,NS,X,99,50,,
2023,188041677,165630002,1,41,38,M,20,20,38,
2023,188041700,165630024,0,104,NS,X,99,50,,
2023,188041710,165630034,1,34,31,F,20,20,31,
2023,188041720,165630043,1,26,23,M,98,40,17,29
2023,188041721,165630043,2,26,23,F,98,40,17,29
2023,190009409,167374158,0,104,NS,X,99,50,,
2023,188041735,165630057,0,104,NS,X,99,50,,
2023,191016884,168264699,0,104,NS,X,99,50,,
2023,193565129,170506884,1,50,47,M,10,20,47,
2023,188041752,165630074,1,32,29,F,20,20,29,
2023,188041755,165630077,1,35,32,M,20,10,32,
2023,188041757,165630079,1,47,44,M,10,20,44,
2023,190009410,167374159,1,36,33,M,10,10,33,
2023,192047453,169172798,1,56,53,M,10,20,53,
2023,188041763,165630084,0,104,NS,X,99,50,,
2023,193565130,170506885,1,55,52,M,20,20,52,
2023,188041766,165630087,0,104,NS,X,99,50,,
2023,188041768,165630089,1,23,20,M,10,40,20,
2023,188782267,166287006,1,19,16,M,20,20,16,
2023,188041769,165630090,1,19,16,M,10,10,16,
