data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2023,165579288,10,,,
2023,165579288,11,1,,
2023,163287380,38,2000,,
2023,163287382,11,1,,
2023,165018555,36,360,,
2023,162717626,38,1000,,
2023,162717631,38,1,,
2023,164568012,10,,,
2023,164568012,63,1,,
2023,170813039,11,1,,
2023,162717735,10,,,
2023,162717737,38,1,,
2023,162717745,10,,,
2023,162717751,10,,,
2023,162717757,3,1,2023-01-02,
2023,162717765,38,100,,
2023,162717784,3,500,,
2023,162717793,38,1500,,
2023,162717821,10,,,
2023,162717821,11,1,,
2023,164242677,3,1,,
2023,164242677,38,400,,
2023,162717836,38,1,,
2023,162717846,16,500,,
2023,162717846,25,2500,,
2023,162717846,61,1400,,
2023,162717851,38,1,,
2023,162717873,35,700,,
2023,162717881,8,200,,
2023,162717887,64,1,2023-01-04,
2023,163287386,19,7000,,
2023,162717913,3,4700,,
2023,162717917,28,6000,,
2023,162717931,11,1,,
2023,162717945,7,1,,
2023,162717945,20,1000,,
2023,162717945,47,0,,
2023,162717947,63,5870,,
2023,162717955,63,75,,
2023,163287387,3,1,2023-01-04,
2023,163287388,10,,,
2023,163287388,11,1,,
2023,162717985,37,6000,,
2023,164242678,3,20000,,
2023,162718008,37,1,,
2023,162718022,24,8000,,
2023,164242679,16,1,,
2023,162718027,10,,,
2023,162718036,7,1599,,
2023,162718036,17,11624,,
2023,162718036,20,2000,,
2023,162718036,25,1889,,
2023,162718036,63,146,,
2023,165823679,63,300,,
2023,162718076,10,,,
2023,162718092,10,,,
2023,162718114,51,0,2023-01-06,
2023,162718156,47,0,,
2023,162718170,6,20,,
2023,162718170,9,0,,
2023,162718170,20,700,,
2023,162718170,51,0,,
2023,162718170,61,1000,,
2023,162718170,63,1000,,
2023,162718185,38,3000,,
2023,165018558,36,500,,
2023,162718200,6,26,,
2023,162718200,25,20,,
2023,162718203,61,1,,
2023,162718203,63,482,,
2023,162718205,24,1,,
2023,165823680,10,,,
2023,162718209,63,25000,,
2023,162718211,3,3000,,
2023,163287389,3,1,2023-01-06,
2023,162718215,3,1,2023-01-06,
2023,162718216,10,,,
2023,162718216,11,1,,
2023,165823685,10,,,
2023,162718217,31,1,,
2023,162718219,3,350,,
2023,164242681,20,72,,
2023,165018559,63,300,,
2023,162718222,8,12,2023-01-07,
2023,162718223,8,12,,
2023,162718224,63,1770,,
2023,162718225,3,2000,,
2023,162718226,3,1,,
2023,162718226,9,0,,
2023,162718226,20,161,,
2023,162718226,25,417,,
2023,162718226,51,0,,
2023,162718226,63,1100,,
2023,162718228,47,0,,
2023,162718228,63,1,,
2023,162718229,63,171,,
2023,162718230,20,650,,
2023,162718231,38,3000,,
2023,162718234,3,2000,,
