data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2023,188261893,192844203,17,
2023,188261894,192844204,24,
2023,188261895,192844204,24,
2023,188261897,192844205,21,
2023,188261916,192844225,18,
2023,188261919,192844228,18,
2023,188261937,192844245,24,
2023,188261938,192844245,24,
2023,188261942,192844249,3,
2023,188261950,192844258,21,
2023,188261957,192844265,18,
2023,188261958,192844265,24,
2023,206657973,211589045,18,
2023,188261962,192844269,24,
2023,188261973,192844280,24,
2023,188261985,192844293,27,
2023,188351773,192932179,3,
2023,188351780,192932186,24,
2023,188351782,192932187,9,
2023,188351782,192932188,9,
2023,188351796,192932200,21,
2023,209709621,214611915,16,
2023,188351800,192932206,24,
2023,188351806,192932213,21,
2023,188351814,192932223,3,
2023,188351818,192932227,18,
2023,188351835,192932242,21,
2023,188351844,192932251,3,
2023,188351850,192932257,9,
2023,201875329,206791244,24,
2023,201875333,206791248,16,
2023,201875340,206791255,24,
2023,201875345,206791260,24,
2023,201875352,206791266,24,
2023,201875353,206791266,24,
2023,201875358,206791272,16,
2023,206784875,211715334,24,
2023,201875366,206791280,24,
2023,201875367,206791280,18,
2023,201875379,206791386,16,
2023,191989886,196554465,27,
2023,191989888,196554467,24,
2023,191989902,196554481,21,
2023,191989904,196554483,16,
2023,205268561,210211795,24,
2023,191989936,196554515,24,
2023,191989937,196554516,24,
2023,191989938,196554516,24,
2023,191989939,196554516,24,
2023,191989944,196554521,24,
2023,191989949,196554525,24,
2023,191989955,196554531,24,
2023,191989956,196554532,27,
2023,204851079,209792663,24,
2023,191989969,196554545,24,
2023,191989981,196554557,1,
2023,191989981,196554558,24,
2023,191989982,196554557,19,
2023,191989982,196554558,24,
2023,191989987,196554564,25,
2023,191989987,196554565,3,
2023,191989988,196554564,3,
2023,191989988,196554565,25,
2023,191989989,196554566,1,
2023,190720371,195293319,24,
2023,190720378,195293327,5,
2023,190720381,195293331,1,
2023,190720390,195293338,27,
2023,204881040,209822506,16,
2023,190720401,195293351,16,
2023,204931447,209871935,18,
2023,190720413,195293363,24,
2023,204931449,209871937,24,
2023,204931449,209871938,24,
2023,204931449,209871939,24,
2023,204931450,209871937,24,
2023,204931450,209871938,24,
2023,204931450,209871939,24,
2023,190720417,195293367,3,
2023,190720431,195293380,24,
2023,194833989,199378084,18,
2023,194833996,199378090,24,
2023,194833996,199378091,24,
2023,197135723,201668596,16,
2023,194834012,199378108,24,
2023,194834026,199378126,24,
2023,194834032,199378132,24,
2023,194834035,199378134,18,
2023,194834037,199378136,21,
2023,194834051,199378149,4,
2023,194834065,199378162,24,
2023,194834066,199378162,24,
2023,194834069,199378165,19,
2023,194834078,199378174,24,
2023,194834082,199378178,9,
2023,197135725,201668598,24,
2023,194834094,199378192,24,
2023,206658013,211589086,16,
2023,194834107,199378208,16,
